replyId,videoId,parentCommentId,replyAuthor,reply,replyTimeStamp,replylikesCount,clean_reply,reply_language
Ugwk4BduA-V1d6U-35R4AaABAg.9Mta--N7vja9OZKRJmju2w,zWg7U0OEAoE,Ugwk4BduA-V1d6U-35R4AaABAg,shawn prestene,"@Umashankar Singh bro 70 years since we got independence , still they won't change it because education is controlled by stupid government",2021-06-14T06:43:19Z,0,"@Umashankar Singh bro 70 years since we got independence , still they won't change it because education is controlled by stupid government",en
Ugwk4BduA-V1d6U-35R4AaABAg.9Mta--N7vja9OZJEEMHZLD,zWg7U0OEAoE,Ugwk4BduA-V1d6U-35R4AaABAg,Umashankar Singh,Its not Indian education  it's mckaley education.,2021-06-14T06:32:48Z,0,Its not Indian education  it's mckaley education.,en
Ugyl87WZJSP7LMZcEmp4AaABAg.9M4BRenB8pT9NfXyOkRQmw,zWg7U0OEAoE,Ugyl87WZJSP7LMZcEmp4AaABAg,T N,This was taken 12-14 years back,2021-05-23T05:24:51Z,0,This was taken 12-14 years back,en
UgwqqPC0eCd54QAiATx4AaABAg.9IPsidVtpfj9LL0LyIL5B0,zWg7U0OEAoE,UgwqqPC0eCd54QAiATx4AaABAg,ASUTOSH GHANTO IIIT Dharwad,"it is more than enough ,There is not much improvement in datastructure algo technology.These are the building blocks of major softwares.",2021-03-26T03:44:16Z,0,"it is more than enough ,There is not much improvement in datastructure algo technology.These are the building blocks of major softwares.",en
UgxniZCOoNr-9NWgBwp4AaABAg.9DLwyO_n1jF9DwSNy3BOhJ,zWg7U0OEAoE,UgxniZCOoNr-9NWgBwp4AaABAg,Lavan Kumar Ganji,"but the content is awesome.  :) 
PS: Kindly checkout my channel for mock interview .",2020-09-23T05:49:12Z,0,"but the content is awesome.  :) 
PS: Kindly checkout my channel for mock interview .",en
UgxniZCOoNr-9NWgBwp4AaABAg.9DLwyO_n1jF9DjUZc4wDZG,zWg7U0OEAoE,UgxniZCOoNr-9NWgBwp4AaABAg,Sai,You mean video quality? It's from 2008,2020-09-18T04:58:09Z,1,You mean video quality? It's from 2008,en
UgwOoYXXjfycIZT9rax4AaABAg.9CmWPJvJzur9EYYrlCA53p,zWg7U0OEAoE,UgwOoYXXjfycIZT9rax4AaABAg,Aditya Raj,https://www.youtube.com/channel/UCSvlRMaml8RgQ_jp3BJkN7Q it is very beneficial bro .bcz u can get all solution regarding these  from here,2020-10-08T10:16:13Z,0,https://www.youtube.com/channel/UCSvlRMaml8RgQ_jp3BJkN7Q it is very beneficial bro .bcz u can get all solution regarding these  from here,en
UgwOoYXXjfycIZT9rax4AaABAg.9CmWPJvJzur9DkUcB86SQQ,zWg7U0OEAoE,UgwOoYXXjfycIZT9rax4AaABAg,Vivek negi,@nathan manju Thank you for your reply,2020-09-18T14:17:52Z,0,@nathan manju Thank you for your reply,en
UgwOoYXXjfycIZT9rax4AaABAg.9CmWPJvJzur9D6Ql328HzM,zWg7U0OEAoE,UgwOoYXXjfycIZT9rax4AaABAg,Vivek negi,Are nptel videos enough for gate ??,2020-09-02T15:35:16Z,0,Are nptel videos enough for gate ??,en
UgyFSSpAYNHp6KZ4w5l4AaABAg.9C7P_iHSHPs9Nd6QZLqRW-,zWg7U0OEAoE,UgyFSSpAYNHp6KZ4w5l4AaABAg,Jagpreet Singh,Thanks dear,2021-05-22T06:45:41Z,0,Thanks dear,en
Ugw5mGDMlPCeq0i66NJ4AaABAg.9AnKizwI4MG9Ks44c8bnP7,zWg7U0OEAoE,Ugw5mGDMlPCeq0i66NJ4AaABAg,Pankaj Kumar Pandey,I don’t want to go in depth god bless him. His lecture was very nice. That’s all.,2021-03-14T12:39:39Z,0,I don’t want to go in depth god bless him. His lecture was very nice. That’s all.,en
Ugw5mGDMlPCeq0i66NJ4AaABAg.9AnKizwI4MG9Ks3saSTmPT,zWg7U0OEAoE,Ugw5mGDMlPCeq0i66NJ4AaABAg,Pankaj Kumar Pandey,"I don’t know the details, when he studied in Lucknow.",2021-03-14T12:37:52Z,0,"I don’t know the details, when he studied in Lucknow.",en
Ugw5mGDMlPCeq0i66NJ4AaABAg.9AnKizwI4MG9Ks1tnaNC45,zWg7U0OEAoE,Ugw5mGDMlPCeq0i66NJ4AaABAg,Pankaj Kumar Pandey,"@Kgf Dun That time three students of queens college were position holder of UP Board. Vijay kumar Maurya second position, Naveen Garg third position and Sachin Garg sixth position.",2021-03-14T12:20:33Z,0,"@Kgf Dun That time three students of queens college were position holder of UP Board. Vijay kumar Maurya second position, Naveen Garg third position and Sachin Garg sixth position.",en
Ugw5mGDMlPCeq0i66NJ4AaABAg.9AnKizwI4MG9Ks1TNXZmmc,zWg7U0OEAoE,Ugw5mGDMlPCeq0i66NJ4AaABAg,Pankaj Kumar Pandey,@Kgf Dun No I don’t know but he was excellent student of queens college varanasi.,2021-03-14T12:16:48Z,0,@Kgf Dun No I don’t know but he was excellent student of queens college varanasi.,en
Ugy9HcOGbB2ZFc4V28d4AaABAg.99yFJywlnE19NQFwrE1yRV,zWg7U0OEAoE,Ugy9HcOGbB2ZFc4V28d4AaABAg,Mayukh Chatterjee,"Just amazed that this 11 months old comment has 133plus likes, in a vdo of which is 12 years old and definitely not within a YouTube algorithm suggestions...
So, kudos to all the 133 distinctive persons.",2021-05-16T21:39:31Z,2,"Just amazed that this 11 months old comment has 133plus likes, in a vdo of which is 12 years old and definitely not within a YouTube algorithm suggestions...
So, kudos to all the 133 distinctive persons.",en
Ugy9HcOGbB2ZFc4V28d4AaABAg.99yFJywlnE19Mx7z5qsSyf,zWg7U0OEAoE,Ugy9HcOGbB2ZFc4V28d4AaABAg,Aero Dynamico,I did one better! Watching in the 2021 quarantine!,2021-05-05T04:52:42Z,1,I did one better! Watching in the 2021 quarantine!,en
UgzFtRO81TMPmHzx7J54AaABAg.98BuDzhIVBB9Ak9ow9VwXn,zWg7U0OEAoE,UgzFtRO81TMPmHzx7J54AaABAg,Tejash Shah,"Hi Nikitha, please check out the transcripts section here at https://nptel.ac.in/courses/106/102/106102064/ ; not the slides but could help you a bit.",2020-07-05T21:41:56Z,1,"Hi Nikitha, please check out the transcripts section here at https://nptel.ac.in/courses/106/102/106102064/ ; not the slides but could help you a bit.",en
UgzuMKD17cBX42gxMUR4AaABAg.977AuE2JA0697LLjufOaLP,zWg7U0OEAoE,UgzuMKD17cBX42gxMUR4AaABAg,H V S,He covered in depth,2020-04-12T07:31:40Z,0,He covered in depth,en
UgxifMtx-mJQ3z91FQd4AaABAg.90y-_q_TmFR91ms0nfEcEZ,zWg7U0OEAoE,UgxifMtx-mJQ3z91FQd4AaABAg,Garde Tanmay,Which language is used,2019-11-26T06:12:50Z,0,Which language is used,en
Ugx6m5oufDGLdRxdXFR4AaABAg.9--p8uXC-Aq9OdyjnCabhp,zWg7U0OEAoE,Ugx6m5oufDGLdRxdXFR4AaABAg,Varun shrivastav,Old is gold,2021-06-16T11:20:27Z,0,Old is gold,en
Ugx6m5oufDGLdRxdXFR4AaABAg.9--p8uXC-Aq9AHStqLivh7,zWg7U0OEAoE,Ugx6m5oufDGLdRxdXFR4AaABAg,अंकुश कश्यप,you missed a 'g' before old,2020-06-24T08:51:24Z,11,you missed a 'g' before old,en
Ugx6m5oufDGLdRxdXFR4AaABAg.9--p8uXC-Aq92w2aMB972u,zWg7U0OEAoE,Ugx6m5oufDGLdRxdXFR4AaABAg,44_SECOMP_A_Prashant Dwivedi,"@IITASPIRANT ASWIN Even 
I want to start with this so  is it worth giving time to these old videos? Or should I try with new ones?
]",2019-12-24T16:18:30Z,3,"@IITASPIRANT ASWIN Even 
I want to start with this so  is it worth giving time to these old videos? Or should I try with new ones?
]",en
Ugy3boj1VQiCYI-vZcV4AaABAg.8vy232rh-Fc8w7HZVEwy4r,zWg7U0OEAoE,Ugy3boj1VQiCYI-vZcV4AaABAg,Sarit Kiran Roy,"Since tj is summed from j=2 to j=n, then the summation in case of tj = j becomes (t2+t3+...+tn)= 2+3+4+... +n = n*(n+1)/2 - 1 =  n^2/2 + ....  = f(n^2) .",2019-06-13T14:09:03Z,2,"Since tj is summed from j=2 to j=n, then the summation in case of tj = j becomes (t2+t3+...+tn)= 2+3+4+... +n = n*(n+1)/2 - 1 =  n^2/2 + ....  = f(n^2) .",en
UgySOAn4vn-RYj_GdiB4AaABAg.8v_mrNSctcB9NCV4hOrGDq,zWg7U0OEAoE,UgySOAn4vn-RYj_GdiB4AaABAg,Faisal Sal,"@Aero Dynamico I agree, writing on a tablet would also be a better option. But this lazy ass is just reading the slides that are already pre-written. More like a newscaster. Anyone could read out if given those slides.",2021-05-11T13:22:25Z,0,"@Aero Dynamico I agree, writing on a tablet would also be a better option. But this lazy ass is just reading the slides that are already pre-written. More like a newscaster. Anyone could read out if given those slides.",en
UgySOAn4vn-RYj_GdiB4AaABAg.8v_mrNSctcB9Mx7nEwhASS,zWg7U0OEAoE,UgySOAn4vn-RYj_GdiB4AaABAg,Aero Dynamico,"Oh, that standing and writing on the whiteboard (which is just a substitute for the old blackboard) era is GONE. Now all sit on their ass (as you put it) and write on a tablet; the cam focuses on what she writes, blows it up, and presents it to you. No more big whiteboards, no need to stand up!",2021-05-05T04:51:05Z,0,"Oh, that standing and writing on the whiteboard (which is just a substitute for the old blackboard) era is GONE. Now all sit on their ass (as you put it) and write on a tablet; the cam focuses on what she writes, blows it up, and presents it to you. No more big whiteboards, no need to stand up!",en
UgwMaLk-9NbKhqSQa794AaABAg.8pP1UMvLIMq8rPf0-dMKUS,zWg7U0OEAoE,UgwMaLk-9NbKhqSQa794AaABAg,Muktesh Gautam,"it was i guess pseudo code so don't bother but i even dont understand the algo lol, why he is doing s-> s/(i+1)",2019-02-16T10:52:01Z,1,"it was i guess pseudo code so don't bother but i even dont understand the algo lol, why he is doing s-> s/(i+1)",en
Ugxha4QSiMOHrmtuWbl4AaABAg.8lLhbNXDufX9Ks1qyx_1Y1,zWg7U0OEAoE,Ugxha4QSiMOHrmtuWbl4AaABAg,Kgf Dun,"The video was actually recorded in 2005 but was uploaded in 2008 ,so you see it's a 15 years old video so what quality do you expect from it ??",2021-03-14T12:20:10Z,0,"The video was actually recorded in 2005 but was uploaded in 2008 ,so you see it's a 15 years old video so what quality do you expect from it ??",en
Ugxha4QSiMOHrmtuWbl4AaABAg.8lLhbNXDufX8lbVOa3VWRp,zWg7U0OEAoE,Ugxha4QSiMOHrmtuWbl4AaABAg,Kushal Bhambhani,"This video is recorded 10 years back, don't expect that you would get a perfect movie like experience, what matters is the knowledge which comes out of it :)",2018-09-25T07:21:01Z,7,"This video is recorded 10 years back, don't expect that you would get a perfect movie like experience, what matters is the knowledge which comes out of it :)",en
UgxYVYsOM__WovwbG8B4AaABAg.8jdmja04K7U9IK5PlN_H1H,zWg7U0OEAoE,UgxYVYsOM__WovwbG8B4AaABAg,Gopichand,The intro was nice though!!!,2021-01-10T05:35:04Z,0,The intro was nice though!!!,en
UgxYVYsOM__WovwbG8B4AaABAg.8jdmja04K7U9A8hisO12kQ,zWg7U0OEAoE,UgxYVYsOM__WovwbG8B4AaABAg,Tushar Vaswani,Thanks,2020-06-20T23:16:33Z,1,Thanks,en
UgxYVYsOM__WovwbG8B4AaABAg.8jdmja04K7U94RZqmhzS1H,zWg7U0OEAoE,UgxYVYsOM__WovwbG8B4AaABAg,Walden Schmidt,Thanks,2020-01-31T03:56:12Z,1,Thanks,en
UgxYVYsOM__WovwbG8B4AaABAg.8jdmja04K7U91aVfnlC6S4,zWg7U0OEAoE,UgxYVYsOM__WovwbG8B4AaABAg,Abhijeet Singh,thank you for saving my 1min 10sec  :P,2019-11-21T10:57:58Z,2,thank you for saving my 1min 10sec  :P,en
UgxIbVONqJB9Pcfbnnh4AaABAg.8hMxao6MsKq8pQfXuiwP4H,zWg7U0OEAoE,UgxIbVONqJB9Pcfbnnh4AaABAg,Laxminarayan Gupta,It's an old video,2018-12-29T03:13:06Z,0,It's an old video,en
Ugz2UVkYRWIS5x2pRRV4AaABAg.8cISJOOzxMl9CYCpTZQF3A,zWg7U0OEAoE,Ugz2UVkYRWIS5x2pRRV4AaABAg,ajay karthik,Bro is this based on c language or other?,2020-08-19T14:00:53Z,0,Bro is this based on c language or other?,en
UghZ_sBZDYHybHgCoAEC.8LvhBKp2qQo8LwSXqRCfhG,zWg7U0OEAoE,UghZ_sBZDYHybHgCoAEC,Debopriyo Basu,@Danish Prakash thanks! Now I understood the difference:-),2016-12-01T08:32:29Z,1,@Danish Prakash thanks! Now I understood the difference:-),en
UghZ_sBZDYHybHgCoAEC.8LvhBKp2qQo8Lw9LAAx5S1,zWg7U0OEAoE,UghZ_sBZDYHybHgCoAEC,Danish Prakash,Debopriyo Basu algorithm is a worded guide for one who's writing the program for a better understanding. Whereas pseudo code is more closer to the code as in it outlines the constructs and methods that are to be used in the code. Both are language independent.,2016-12-01T05:44:44Z,5,Debopriyo Basu algorithm is a worded guide for one who's writing the program for a better understanding. Whereas pseudo code is more closer to the code as in it outlines the constructs and methods that are to be used in the code. Both are language independent.,en
UghFI7vYtlO1uXgCoAEC.8IsC01mJ7Hs9Mx86gEWVrD,zWg7U0OEAoE,UghFI7vYtlO1uXgCoAEC,Aero Dynamico,Good luck to you Rajesh. Hope you enjoy your manual labourer's job. Algorithms are not for everyone.,2021-05-05T04:53:52Z,0,Good luck to you Rajesh. Hope you enjoy your manual labourer's job. Algorithms are not for everyone.,en
UghocZLk6nJ3KXgCoAEC.8F_Yja9ECMQ8_qHOUO-HLa,zWg7U0OEAoE,UghocZLk6nJ3KXgCoAEC,raajit ranjan,So you want pomp n show in a Computer Science lecture? You're here to learn or to entertain yourself? I just wasted my 50 minutes by watching that David J Malan lecture you recommended ...,2017-12-06T18:50:33Z,2,So you want pomp n show in a Computer Science lecture? You're here to learn or to entertain yourself? I just wasted my 50 minutes by watching that David J Malan lecture you recommended ...,en
UghocZLk6nJ3KXgCoAEC.8F_Yja9ECMQ8YEoNXp1Nlk,zWg7U0OEAoE,UghocZLk6nJ3KXgCoAEC,Music47,They are teaching the extreme basics. This is DS with Java. The context is different my friend.,2017-10-03T03:14:21Z,1,They are teaching the extreme basics. This is DS with Java. The context is different my friend.,en
UghocZLk6nJ3KXgCoAEC.8F_Yja9ECMQ8TcMDn7njva,zWg7U0OEAoE,UghocZLk6nJ3KXgCoAEC,jay jay,bro give me the link,2017-06-10T09:23:39Z,1,bro give me the link,en
UghocZLk6nJ3KXgCoAEC.8F_Yja9ECMQ8SaiNWCvTLv,zWg7U0OEAoE,UghocZLk6nJ3KXgCoAEC,Sid Trip,you are the ONLY ONE WHO IS SHOUTING.,2017-05-15T21:36:05Z,4,you are the ONLY ONE WHO IS SHOUTING.,en
Ugj09ktmhkyTWHgCoAEC.8FSluMsHzZT8jbUYjzRpPH,zWg7U0OEAoE,Ugj09ktmhkyTWHgCoAEC,MOHIT VYAS,and EXCEPT your grammer,2018-08-06T14:10:53Z,3,and EXCEPT your grammer,en
UgjuwH9VlB0Ni3gCoAEC.8Ew6w2lRTkK8GLDC9HHuzt,zWg7U0OEAoE,UgjuwH9VlB0Ni3gCoAEC,Harshavardhana Srinivasan,Thanks bro i will look forward,2016-07-15T05:30:20Z,0,Thanks bro i will look forward,en
UgjuwH9VlB0Ni3gCoAEC.8Ew6w2lRTkK8GGIVxKmYJ3,zWg7U0OEAoE,UgjuwH9VlB0Ni3gCoAEC,hitzee,"go with cormen
thats kinda standard",2016-07-13T07:40:31Z,0,"go with cormen
thats kinda standard",en
UgjftzHD-2UiaHgCoAEC.8EVpmyRiwLi8Jv24dOxHoc,zWg7U0OEAoE,UgjftzHD-2UiaHgCoAEC,Rahul Bhave,"because the first element is already in the array, so insertion will start from 2 upto n",2016-10-12T02:19:16Z,0,"because the first element is already in the array, so insertion will start from 2 upto n",en
UgjftzHD-2UiaHgCoAEC.8EVpmyRiwLi8IowgKNqjUT,zWg7U0OEAoE,UgjftzHD-2UiaHgCoAEC,Adrian Kapuściński,"As we are starting counting from the second element, why this operation is going to be executed n times and not (n-1) times?",2016-09-14T20:56:33Z,0,"As we are starting counting from the second element, why this operation is going to be executed n times and not (n-1) times?",en
UgjftzHD-2UiaHgCoAEC.8EVpmyRiwLi8EZs2Agvsal,zWg7U0OEAoE,UgjftzHD-2UiaHgCoAEC,parminder kang,+Harshit Sethi  thanq so much,2016-06-01T05:02:33Z,0,+Harshit Sethi  thanq so much,en
UgjftzHD-2UiaHgCoAEC.8EVpmyRiwLi8EZgtVmLuuz,zWg7U0OEAoE,UgjftzHD-2UiaHgCoAEC,Harshit Sethi,"In Pseudo Code, we don't start the counting with 0 first of all. So the first element is counted as 1 and the second element is count as 2 and so on. So, when we start our algorithm, we start with 2 because the first element would be already there, if not then we'll have nothing to compare with in the start. In the pseudo code, you can see we set i<- j-1 so if we start with 1 then i will be 0 which is out of bounds for the array. We initially take 1st element as our reference element around which we will insert our elements.",2016-06-01T03:25:07Z,3,"In Pseudo Code, we don't start the counting with 0 first of all. So the first element is counted as 1 and the second element is count as 2 and so on. So, when we start our algorithm, we start with 2 because the first element would be already there, if not then we'll have nothing to compare with in the start. In the pseudo code, you can see we set i<- j-1 so if we start with 1 then i will be 0 which is out of bounds for the array. We initially take 1st element as our reference element around which we will insert our elements.",en
UgjVIeswniyFfHgCoAEC.8ACY06uVmlF8DU6duvGUtX,zWg7U0OEAoE,UgjVIeswniyFfHgCoAEC,Aagam Mehta,"+Sandeep Verma Take cormen book and learn only the sorting and data structure portion from it , you will like it.",2016-05-05T02:52:04Z,2,"+Sandeep Verma Take cormen book and learn only the sorting and data structure portion from it , you will like it.",en
UgjCcYTe5qutSngCoAEC.89Ruet1cK-X8o3blek6iSK,zWg7U0OEAoE,UgjCcYTe5qutSngCoAEC,deepak kumar,do check the publication  year.,2018-11-25T07:46:14Z,6,do check the publication  year.,en
UgjCcYTe5qutSngCoAEC.89Ruet1cK-X8lzH9I9AntQ,zWg7U0OEAoE,UgjCcYTe5qutSngCoAEC,Skeptic Sam,hang in there the professor is on the way to teach you personally.,2018-10-04T12:58:22Z,20,hang in there the professor is on the way to teach you personally.,en
Ughleb-0U4kl6HgCoAEC.89DHcduZtcz8LlyJZ_6pIq,zWg7U0OEAoE,Ughleb-0U4kl6HgCoAEC,Gaurav Pandey,"at least he is efficient to make that, what are you? same for us.",2016-11-27T06:47:15Z,0,"at least he is efficient to make that, what are you? same for us.",en
UgghfKCOQIy-WngCoAEC.85r1EXRgzHY88ia1byuN03,zWg7U0OEAoE,UgghfKCOQIy-WngCoAEC,Sriram Subramanian,+Rose B While inserting 7 you will just insert it at the end.,2016-01-07T20:29:14Z,0,+Rose B While inserting 7 you will just insert it at the end.,en
UgjbDuCqjDAgDngCoAEC.85fXX0z1jCu8GqMMkxWRLn,zWg7U0OEAoE,UgjbDuCqjDAgDngCoAEC,rajá reddy,you can download any youtube videos just by typing ss after www. and press enter,2016-07-27T17:06:07Z,0,you can download any youtube videos just by typing ss after www. and press enter,en
